,Full_Address,Percent_Increase,Rental price (per month) BEFORE the increase,Rental price (per month) AFTER the increase,Latitude,Longitude
281,"11730 Stonehenge Ln, Los Angeles, CA, 90077",34,48500,65000,34.1104703,-118.475605
282,"3205 Waverly Dr, Los Angeles, CA, 90027",31,19000,25000,34.1133833,-118.2705752
283,"3663 Edenhurst Ave, Los Angeles, CA, 90039",12,8000,9000,34.1191127,-118.2616592
284,"8911 Cynthia St APT 9, West Hollywood, CA, 90069",12,6240,7000,34.0874504,-118.3859943
285,"11842 Culver Blvd, Los Angeles, CA, 90066",24,2945,3680,33.996255,-118.4164218
286,"715 N Rexford Dr, Beverly Hills, CA, 90120",46,37500,55000,34.080718,-118.4073443
287,"2260 Maravilla Dr,, Los Angeles, CA, 90068",17,29900,34999,34.1114021,-118.3433051
288,"3935 Inglewood Blvd #3935, Los Angeles, CA, 90066",12,3999,4500,34.0034296,-118.4270122
289,"4188 Marcasel Ave, Los Angeles, CA, 90066",0,8955,9000,33.9986565,-118.4213716
290,"726 Pier Ave #C, Santa Monica, CA, 90405",14,3499,4000,34.0033852,-118.4735257
291,"12354 Tiara street, valley village, CA, 91607",16,15900,18500,34.1781352,-118.4025722
292,"4531 Van Nuys Blvd, Los Angeles, CA, 91403",12,3500,3950,34.1539092,-118.4489957
293,"2442 Beverwil Dr, LA, CA, 90034",98,6300,12500,34.0410052,-118.3981754
294,"700 Main St UNIT 25 , Venice, CA, 90291",36,11000,15000,33.9936417,-118.4750068
295,"823 S Sierra Bonita Ave, Los Angeles, CA, 90036",10,17995,19950,34.06006790000001,-118.355164
296,"241 Rees St, Playa Del Rey, CA, 90293",329,2795,12000,33.9577506,-118.4467439
297,"518 Rialto Ave #A, Venice, CA, 90291",13,4500,5100,33.9889047,-118.4666204
298,"927 N Fairview St, Burbank, CA, 91505",32,14950,19750,34.1707585,-118.341654
299,"12318 W Sunset Blvd, Los Angeles, CA, 90049",1,29500,30000,34.057587,-118.4798486
300,"1444 Beverwil Dr , LA, CA, 90035",90,19950,38000,34.0536835,-118.3983173
301,"8666 Hollywood Blvd, Los Angeles, CA, 90069",16,14995,17500,34.0972784,-118.3778531
302,"4418 S Slauson Ave #402, Culver City, CA, 90230",13,4350,4950,33.9984756,-118.4141181
303,"8666 Hollywood Blvd, Los Angeles, CA 90069, Los Angeles, CA, 90069",16,14995,17500,34.0972784,-118.3778531
304,"5516 Willowcrest Ave, North Hollywood, CA 91601, north hollywood, CA, 91601",55,4500,7000,34.1705666,-118.3624073
305,"22809 Del Valle St APT 10, Woodland Hills, CA, 91364",14,2800,3200,34.1651753,-118.6236025
306,"9892 Beverly Grove Dr, Beverly hills, CA, 90210",32,25000,33000,34.0950946,-118.4239787
307,"17841 Tarzana St, Encino, CA 91316, Encino, CA, 91316",173,6750,18480,34.1607327,-118.5214966
308,"20 28th Ave APT C, Venice, CA, 90291",14,3500,4000,33.9807931,-118.4674787
309,"22527 Cass Ave #1, Woodland Hills, CA, 91364",21,14000,17000,34.1639945,-118.6180029
310,"13318 Mulholland Dr, Beverly Hills, CA, 90210",20,49850,59850,34.1294169,-118.4230878
311,"20500 Ventura Blvd FLOOR 3-ID681, Woodland Hills, CA, 91364",17,2320,2730,34.1680207,-118.5782013
312,"11361 Ovada Pl Apt 2, Los Angeles, CA, 90049",16,3100,3600,34.0765043,-118.467475
313,"8147 Mulholland Ter, Los Angeles , CA, 90046",25,15900,20000,34.1239814,-118.3775658
314,"4521 Alla Rd, Marina Del Rey , CA, 90292",12,6250,7000,33.9858764,-118.4332627
315,"22731 Burbank Blvd, Los Angeles, CA, 91367",16,1625,1895,34.1722314,-118.6222965
316,"9031 Alto Cedro Dr, Beverly Hills, CA, 90210",19,42000,50000,34.114263,-118.3933489
317,"22731 Burbank Blvd, Woodland Hills, CA, 91367",16,1625,1895,34.1722314,-118.6222965
318,"20500 Ventura Blvd, Los Angeles, CA, 91364",17,2320,2730,34.1680207,-118.5782013
319,"5709 Calvin Ave, Tarzana, CA 91356, Tarzana, CA, 91356",441,4800,26000,34.1747289,-118.5559546
320,"22527 Cass Ave Apt 1, Los Angeles, CA, 91364",21,14000,17000,34.1639945,-118.6180029
321,"Undisclosed, Culver City, CA, 90232",50,5950,8950,34.0236878,-118.3900204
322,"3310 Coy Dr., Sherman Oaks, CA, 91423",9,11000,12000,34.1317295,-118.4453939
323,"8680 Franklin Ave, Los Angeles, CA, 90069",30,20000,26000,34.0986142,-118.3782761
324,"748 S Cloverdale Ave, Los Angeles, CA, 90036",33,19500,26000,34.0608398,-118.3464946
325,"543 Rialto Ave, Venice, CA, 90291",22,22500,27500,33.98937799999999,-118.4658695
326,"2461 Jupiter Dr, Los Angeles, CA, 90046",30,20000,26000,34.1150701,-118.3627845
327,"4045 Jackson Ave, Culver City, CA, 90232",94,7450,14500,34.017638,-118.3976301
328,"710 Westbourne Dr, West Hollywood, CA, 90069",26,9500,11995,34.0839867,-118.3792821
329,"Undisclosed Address, Sherman Oaks, CA, 91423",35,18500,25000,34.1482691,-118.4338345
330,"2242 Jeffersonia Way, Los Angeles, CA, 90049",47,16950,24995,34.0767589,-118.5044916
331,"1807 San Ysidro Dr, Beverly Hills, CA, 90210",28,19500,25000,34.1043269,-118.4250042
332,"8517 Valley Flores Dr #B, West Hills, CA 91304, West Hills, CA, 91304",324,1650,7000,34.2246564,-118.6494641
333,"15541 Aqua Verde Dr, Los Angeles, CA, 90077",31,19000,25000,34.1229319,-118.4742325
334,"11964 Brentwood Grove Dr, LA, CA, 90049",426,9500,50000,34.0777919,-118.4791994
335,"802 N Edinburgh Ave, Los Angeles, CA, 90046",11,4500,4999,34.0856481,-118.3635564
336,"1881 Mount Olympus Dr, Los Angeles, CA, 90046",72,14500,25000,34.1059224,-118.3657513
337,"1106 Oakwood Ave, Venice, CA, 90291",30,8459,11000,33.995115,-118.4633682
338,"774 N Kenter Ave, Los Angeles, CA, 90049",19,20970,24995,34.0732023,-118.4894705
339,"4260 Revere Pl, Culver City, CA, 90232",30,6500,8500,34.0140415,-118.3925252
340,"2369 Jupiter Dr, Los Angeles, CA, 90046",27,18500,23500,34.1124615,-118.3636998
341,"1540 Marlay Dr, LA, CA, 90069",71,7000,12000,34.0997722,-118.369198
342,"634 W California Ave, Glendale, CA, 91203",71,3200,5500,34.1496077,-118.2681701
343,"920 N Beverly Glen Blvd, LA, CA, 90077",20,10000,12000,34.0926875,-118.4389961
344,"16754 Armstead St, Granada Hills, CA, 91344",16,6000,7000,34.2820287,-118.4975235
345,"1416 Pandora Ave, Los Angeles, CA, 90024",83,12000,22000,34.0614594,-118.4262432
346,"354 S Spring St FLOOR 10-ID1208, Los Angeles, CA, 90013",30,4140,5400,34.0489665,-118.2478171
347,"929 Marco Pl, Venice, CA, 90291",47,17995,26500,33.9952892,-118.4576876
348,"17841 Tarzana St, Encino, CA, 91316",173,6750,18480,34.1607327,-118.5214966
349,"4906 Rubio Ave, Encino, CA, 91436",10,19500,21500,34.1596272,-118.4942482
350,"4707 Libbit Ave, Encino, CA, 91436",60,20000,32000,34.1553371,-118.4883177
351,"8147 Mulholland Ter, Los Angeles, CA, 90046",25,15900,20000,34.1239814,-118.3775658
352,"5709 Calvin Ave, Tarzana, CA, 91356",441,4800,26000,34.1747289,-118.5559546
353,"1723 S Durango Ave, Los Angeles, CA, 90035",11,17995,19995,34.0487131,-118.3888779
354,"1916 W Court St, Los Angeles , CA, 90026",45,9995,14500,34.0684012,-118.2670175
355,"1445 S Ogden Dr, Los Angeles, CA, 90019",33,15000,19995,34.0498225,-118.3651858
356,"11361 Ovada Pl APT 2, Los Angeles, CA, 90049",16,3100,3600,34.0765043,-118.467475
357,"1637 S Sherbourne Dr, Los Angeles, CA, 90035",33,14995,19995,34.0487495,-118.3806335
358,"3512 Crestmont Ave, Los Angeles, CA, 90026",22,9000,11000,34.0923713,-118.2745262
359,"1533 Marlay Dr, West Hollywood, CA, 90069",15,26000,30000,34.1001424,-118.3692282
360,"274 S La Fayette Park Pl #2B-2BA, los angeles, CA, 90057",37,2395,3295,34.0671024,-118.2800364
361,"823 S Sierra Bonita Ave, Los Angeles , CA, 90036",10,17995,19950,34.06006790000001,-118.355164
362,"20 28th Ave APT C, Venice, CA, 90291",14,3500,4000,33.9807931,-118.4674787
363,"8401 Remmet Ave, Canoga Park, CA, 91304",27,5500,7000,34.2222935,-118.6012399
364,"7901 Limerick Ave #1, Winnetka, CA, 91306",36,5500,7500,34.213701,-118.5831399
365,"17808 Sherman Way APT 127, Reseda, CA, 91335",24,1675,2078,34.2003081,-118.5212496
366,"1636 N Occidental Blvd, Los Angeles, CA, 90026",28,3500,4500,34.0888956,-118.2681823
367,"22809 Del Valle St APT 10, Woodland Hills, CA, 91364",14,2800,3200,34.1651753,-118.6236025
368,"5535 Carlton Way #1B-1BA, los angeles, CA, 90028",13,1850,2095,34.1008537,-118.3105798
369,"2369 Jupiter Dr, Los Angeles, CA, 90046",27,18500,23500,34.1124615,-118.3636998
370,"3055 Landa St, Los Angeles, CA, 90039",33,9000,12000,34.0954998,-118.2679795
371,"2559 Hutton Dr, Beverly Hills, CA, 90210",31,7999,10500,34.1179119,-118.4328616
372,"4418 S Slauson Ave #402, Culver City, CA, 90230",13,4350,4950,33.9984756,-118.4141181
373,"2390 Nalin Dr, Los Angeles, CA, 90077",19,8350,9950,34.119091,-118.4661501
374,"3663 Edenhurst Ave, Los Angeles, CA, 90039",12,8000,9000,34.1191127,-118.2616592
375,"4045 Jackson Ave, Culver City, CA, 90232",94,7450,14500,34.017638,-118.3976301
376,"1941 Glencoe Way, Los Angeles , CA, 90068",47,8500,12500,34.10617939999999,-118.339232
377,"748 S Cloverdale Ave, Los Angeles, CA, 90036",33,19500,26000,34.0608398,-118.3464946
378,"2229 Willetta St, Los Angeles, CA, 90068",57,10500,16500,34.1112675,-118.3276786
379,"110 Bennett Ave, Long Beach, CA, 90803",122,3500,7800,33.7603253,-118.1430317
380,"747 Monterey Blvd, Hermosa Beach, CA, 90254",30,6500,8500,33.85945,-118.3975401
381,"1211 Goodman Ave, Redondo Beach, CA, 90278",7,6550,7050,33.86512940000001,-118.3847826
382,"12117 Alberta Dr, Los Angeles, CA, 90230",38,5200,7200,33.9860528,-118.4112587
383,"825 N Pasadena Ave, Pasadena, CA, 91103",12,3750,4200,34.1581114,-118.1610471
384,"817 Manhattan Ave, , Hermosa Beach, CA, 90254",17,5100,6000,33.8596614,-118.398499
385,"2666 Hutton Dr, , Beverly Hills, CA, 90210",15,65000,75000,34.1198016,-118.4296489
386,"2328 San Ysidro Dr, Beverly Hills, CA, 90210",80,25000,45000,34.1135404,-118.4236165
387,"2639 S Genesee Ave, Los Angeles, CA, 90016",109,6930,14500,34.03134319999999,-118.3705734
388,"13204 Hansworth Ave,, Hawthorne, CA, 90250",8,5300,5750,33.9127773,-118.3755273
389,"745 Oxford Ave, Marina Del Rey, CA, 90292",30,9900,12900,33.9862529,-118.4525607
390,"1185 Corsica Dr, Pacific Palisades, CA, 90272",23,40000,49500,34.0503493,-118.5043073
391,"715 N Rexford Dr, Beverly Hills, CA, 90210",46,37500,55000,34.080718,-118.4073443
392,"1802 Belmont Ln, , Redondo Beach, CA, 90278",8,5950,6450,33.8631319,-118.3808345
393,"190 Arroyo Ter APT 202, Pasadena, CA, 91103",29,3095,3995,34.1487298,-118.1638145
394,"1104 Casiano Rd, Los Angeles, CA, 90049",39,8950,12500,34.0809513,-118.4692139
395,"1815 Oak View Ln, Arcadia, CA, 91006",31,4500,5900,34.1649811,-118.0377935
396,"1931 Nelson Ave, Redondo Beach, CA, 90278",10,7400,8200,33.8749118,-118.3774401
397,"(Undisclosed Address), Burbank, CA, 91505",32,14950,19750,34.1615135,-118.3403506
398,"592 30th St, , Manhattan Beach, CA, 90266",40,25000,35000,33.8975619,-118.4100805
399,"1302 N Gardner St, Los Angeles, CA, 90046",36,3300,4500,34.0945816,-118.3526078
400,"241 Rees street, Playa del rey, CA, 90293",200,4000,12000,33.9577506,-118.4467439
401,"917 S Berendo St #401, Los Angeles , CA, 90006",68,3200,5400,34.0552249,-118.294434
402,"724 S Gramercy Dr, Los Angeles , CA, 90005",11,5200,5800,34.0588771,-118.3119229
403,"8038 Blackburn Ave #7, Los Angeles, CA, 90048",40,2500,3500,34.0710057,-118.3654065
404,"748 N Detroit St, Los Angeles, CA, 90046",66,18000,30000,34.0848577,-118.344864
405,"3055 Landa Street, Los Angeles, CA, 90026",33,9000,12000,34.0954998,-118.2679795
406,"6056 fountain avenue, los angeles, CA, 90028",9,5565,6100,34.094288,-118.321521
407,"845 N Formosa Ave, Los Angeles, CA, 90046",110,2850,5995,34.0865827,-118.346555
408,"2901 Angus Street, Los Angeles, CA, 90039",114,2800,6000,34.1073086,-118.2690463
409,"1427 Columbia Dr, Glendale, CA, 91205",129,8500,19500,34.1278404,-118.2415194
410,"1533 Marlay Drive, West Hollywood, CA, 90069",15,26000,30000,34.1001424,-118.3692282
411,"Undisclosed, Pacific Palisades, CA, 90272",107,8900,18500,34.0845245,-118.5447787
412,"3425 W Olive Ave #335,  Burbank, CA, 91505",6,4511,4784,34.1537988,-118.3376854
413,"22720 Oxnard St, Woodland Hills, CA, 91367",51,3900,5900,34.1788428,-118.6216588
414,"2948 Eckleson St, Lakewood, CA, 90712",12,7900,8900,33.8484904,-118.1549665
415,"22349 Vanowen St, Canoga Park, CA, 91303",26,7500,9500,34.1939849,-118.6140733
416,"10123 Angelo View Dr, Beverly Hills, CA, 90210",58,15750,24995,34.0942301,-118.4343713
417,"15541 Aqua Verde Dr, Los Angeles, CA, 90077",31,19000,25000,34.1229319,-118.4742325
418,"2442 W Sunset Blvd, Los Angeles, CA, 90026",22,4500,5500,34.0793117,-118.268596
419,"233 17th Street , Manhattan Beach, CA, 90266",97,10000,19700,33.8888141,-118.4120962
420,"20850 Kingsbury St, Chatsworth, CA, 91311",150,1800,4500,34.2634456,-118.5882789
421,"907 Pine Grove Ave, Los Angeles, CA, 90042",10,5250,5800,34.1314625,-118.1868437
422,"915 Edie Dr, Duarte, CA, 91010",20,9995,11995,34.1416462,-117.9530498
423,"7901 Limerick Ave #1, Winnetka, CA, 91306",36,5500,7500,34.213701,-118.5831399
424,"22147 Gresham St, West Hills, CA, 91304",42,14000,19900,34.2305488,-118.6100148
425,"1533 Twin Tides Pl, Oxnard, CA, 93035",44,9000,13000,34.1858513,-119.2294342
426,"7540 Quimby Ave, West Hills, CA, 91307",22,3995,4900,34.2072073,-118.630856
427,"22958 Cantlay St, West Hills, CA, 91307",32,5300,7000,34.2016906,-118.6275957
428,"9530 Cedarbrook Dr, Beverly Hills, CA, 90210",76,8500,15000,34.1080167,-118.4038481
429,"2021 Vineburn Ave, Los Angeles, CA, 90032",20,4995,5995,34.0668502,-118.1899534
430,"823 S Sierra Bonita Ave, Los Angeles , CA, 90036",9,17995,19750,34.06006790000001,-118.355164
431,"16 Park Ave, Venice, CA, 90291",275,7995,30000,33.9915003,-118.4768726
432,"9337 Shoshone Ave, Northridge, CA, 91325",21,7000,8500,34.2407462,-118.5180645
433,"317 N Flores St, Los Angeles, CA 90048, Los angeles , CA, 90048",78,14000,25000,34.0766543,-118.3713731
434,"22660 Baltar St, West Hills, CA, 91304",11,9000,10000,34.2162388,-118.6211949
435,"1455 N Los Robles Ave #1B-1BA, Pasadena, CA, 91104",10,1995,2200,34.1707676,-118.1421712
436,"1622 Viewmont Dr., Los Angeles, CA, 90069",19,50000,59900,34.1008947,-118.3789385
437,"2730 Earle Ave, Rosemead, CA, 91770",90,2100,4000,34.0616751,-118.084373
438,"9572 Rhea Ave, Northridge, CA, 91324",13,5000,5650,34.2449955,-118.5413418
439,"1235 Highland Oaks Dr, Arcadia, CA, 91006",13,5495,6250,34.1541996,-118.0291553
440,"17063 San Fernando Mission Blvd, Granada Hills, CA, 91344",11,1800,1999,34.2723152,-118.5045746
441,"3816 San Augustine Dr, Glendale, CA, 91206",64,5000,8200,34.1780276,-118.1943193
442,"828 Westmount Dr, Los Angeles, CA, 90069",50,5895,8900,34.085845,-118.378295
443,"8434 Shirley Ave, Northridge, CA, 91324",11,4500,5000,34.2235283,-118.5576905
444,"512 Griswold St APT 6, Glendale, CA, 91205",13,2295,2595,34.1402483,-118.2345279
445,"11633 Chenault St UNIT 202, Los Angeles, CA, 90049",50,4995,7500,34.0578756,-118.4665902
446,"325 E Stocker St APT 5, Glendale, CA, 91207",9,2929,3200,34.1639662,-118.2515574
447,"724 S Gramercy Dr, Los Angeles, CA, 90005",11,5200,5800,34.0588771,-118.3119229
448,"15105 Mulholland Dr, Los Angeles, CA, 90077",19,58500,70000,34.1315196,-118.4625154
449,"233 17th Street , Manhattan beach, CA, 90266",97,10000,19700,33.8888141,-118.4120962
450,"6354 N Charlotte Ave, San Gabriel, CA, 91775",7,6500,7000,34.1152249,-118.088382
451,"472 36th street, Manhattan beach, CA, 90266",125,8750,19750,33.9010052,-118.4147717
452,"23608 Pineforest Lane, Harbor City, CA, 90710",20,4900,5900,33.8109217,-118.2966407
453,"3055 Landa st, Los Angeles, CA, 90039",33,9000,12000,34.0954998,-118.2679795
454,"26865 Via Linda St, Malibu, CA, 90265",66,15000,25000,34.0306517,-118.7570156
455,"119 W Live Oak St APT J, San Gabriel, CA, 91776",31,1895,2485,34.10135410000001,-118.1006469
456,"Unknown, 90028, Los angeles, CA, 90028",25,2350,2950,34.1012181,-118.325739
457,"31678 Cottontail Ln, Malibu, CA, 90265",20,12500,15000,34.0370486,-118.8662855
458,"16070 W Sunset Blvd FLOOR 1-ID361, Pacific Palisades, CA, 90272",13,4300,4900,34.0485826,-118.5355688
459,"900 S Orange Grove Blvd APT C, Pasadena , CA, 91105",71,3800,6500,34.130322,-118.1580611
460,"425 29th street, Manhattan beach, CA, 90266",118,8250,18000,33.8966532,-118.4141582
461,"1850 San Jacinto St, Los Angeles, CA, 90026",6,6500,6900,34.0933758,-118.2695288
462,"Undisclosed Address on Zillow - but it's 17614 Posetano Rd, Pacific Palisades, CA, 90272",107,8900,18500,34.0407901,-118.5605062
463,"286 N Madison Ave FLOOR 3-ID1153, Pasadena, CA, 91101",16,2970,3450,34.1506103,-118.1380325
464,"30830 Broad Beach Rd, Malibu, CA, 90265",150,30000,75000,34.0314008,-118.8448516
465,"3608 The Strand APT 2, Manhattan Beach, CA 90266, Manhattan beach, CA, 90266",856,3450,33000,33.9000845,-118.4192767
466,"31777 Broad Beach Rd, Malibu, CA, 90265",36,11000,15000,34.0375127,-118.8675789
467,"909 El Centro St FLOOR 2-ID1158, South Pasadena, CA, 91030",18,2630,3120,34.1145689,-118.1577681
468,"1807 San Ysidro Dr, Beverly Hills, CA, 90210",28,19500,25000,34.1043269,-118.4250042
469,"500 14th Street, Manhattan beach, CA, 90266",91,12000,23009,33.8877827,-118.4083462
470,"1205 Highview Ave, Manhattan Beach, CA 90266, Manhattan beach, CA, 90266",900,3000,30000,33.8874737,-118.4058994
471," 8417 Harold Way, Los Angeles, CA, 90069",10,14995,16500,34.097468,-118.3743834
472,"314 Upper Lake Rd, Westlake Village, CA, 91361",38,5400,7500,34.1350441,-118.8696231
473,"20752 Collins St, Woodland Hills, CA, 91367",25,6000,7500,34.1732503,-118.5856112
474,"16 Park Ave, Venice, CA, 90291",275,7995,30000,33.9915003,-118.4768726
475,"20202 Clark St, Woodland Hills, CA, 91367",20,2400,2900,34.1721534,-118.5731998
476,"Undisclosed address, Van Nuys, CA, 91406",58,3480,5500,34.1985119,-118.4980744
477,"716 the Strand, Manhattan beach, CA, 90266",0,135000,135000,33.881737,-118.4100698
478,"3977 Dalton Ave #1, Los Angeles, CA, 90062",57,1900,3000,34.0119,-118.30365
479,"592 30th St, Manhattan Beach, CA 90266, Manhattan beach, CA, 90266",40,25000,35000,33.8975619,-118.4100805
480,"5358 Baza Ave, Woodland Hills, CA, 91364",22,4495,5495,34.1674405,-118.6005549
481,"Toscana Apartments, 15736 Vanowen St APT 205, Lake Balboa, CA, 91406",12,1699,1906,34.1937636,-118.476161
482,"359 E Broadway, Long Beach, CA, 90802",25,3595,4500,33.7694286,-118.1880545
483,"425 29th St, Manhattan Beach, CA 90266, Manhattan beach, CA, 90266",119,8200,18000,33.8966532,-118.4141582
484,"Sherway Villa, 17808 Sherman Way APT 127, Reseda, CA, 91335",25,1664,2091,34.2003499,-118.5212914
485,"( undisclosed) Hermosa Beach , Hermosa Beach, CA, 90254",127,7500,17050,33.8701237,-118.4056263
486,"6229 Fallbrook Ave, Woodland Hills, CA, 91367",74,3950,6900,34.183658,-118.6237293
487,"1070 S Bedford St #405A , Los Angeles, CA, 90035",113,4690,10000,34.0572997,-118.3802306
488,"6358 La Rocha Dr, Los Angeles, Other, 90068",27,18500,23500,34.1147393,-118.3272349
489,"3055 Landa St, Los Angeles, CA, 90039",33,9000,12000,34.0954998,-118.2679795
490,"414 Monterey Blvd, Hermosa Beach, CA 90254, Hermosa Beach, CA 90254, CA, 90254",90,5250,10000,33.8568125,-118.3964134
491,"632 N Hayworth Ave APT 3, Los Angeles, CA, 90048",21,4600,5600,34.0826057,-118.3623081
492,"5571 Camp Street, Cypress, CA, 90630",33,7500,10000,33.8301307,-118.0356601
493,"8568 Burton Way APT 301, Los Angeles, CA, 90048",27,5495,6995,34.0718671,-118.3790202
494,"5669 Tuxedo Ter, Los Angeles, CA, 90068",22,6750,8250,34.1142791,-118.3138509
495,"14649 Addison St, Sherman Oaks, CA, 91403",13,13500,15300,34.1614614,-118.4526712
496,"4643 1/2 Pickford St, LA, CA, 90019",27,2195,2795,34.0409984,-118.34104
497,"8038 Blackburn Ave #7, Los Angeles , CA, 90048",40,2500,3500,34.0710057,-118.3654065
498,"672 Walther Way, Los Angeles, CA, 90049",41,12000,17000,34.0702092,-118.4831818
499,"108 W 2nd St #206, Los Angeles, CA, 90012",23,3250,4000,34.0510122,-118.2450272
500,"1646 Blue Jay Way, Los Angeles, CA, 90069",13,39500,45000,34.103314,-118.3867795
501,"1470 Blue Jay Way, Los Angeles, CA, 90069",35,21000,28500,34.0982387,-118.3866375
502,"1702 Sunset Plaza Dr, Los Angeles, CA, 90069",12,20000,22500,34.1018427,-118.3794987
503,"715 N Rexford Dr, Beverly Hills, CA, 90210",46,37500,55000,34.080718,-118.4073443
504,"1661 259th St Unit 235, Los Angeles, CA, 90710",24,2000,2495,33.7886134,-118.3061239
505,"7665 Woodrow Wilson Dr, Los Angeles, CA, 90046",25,10000,12500,34.1218722,-118.3633373
506,"5109 Longridge Ave, Sherman Oaks, CA, 91423",16,18500,21500,34.1634119,-118.4217412
507,"508 N Canon Dr, Beverly Hills, CA, 90210",50,20000,30000,34.073441,-118.4032772
508,"3365 Tyburn St, Los Angeles, CA 90039, Los Angeles, CA, 90039",73,3750,6500,34.1177291,-118.2560146
509,"5344 Leghorn Ave,, Van Nuys, CA, 91401",80,20000,36000,34.168064,-118.415651
510,"745 Patterson Ave, Glendale, CA, 91202",20,6250,7500,34.1577334,-118.2720078
511,"138 N Hamel Dr, Beverly Hills, CA, 90211",63,9500,15500,34.0672251,-118.3812904
512,"1237 S Holt Ave Unit 206, Los Angeles, CA, 90035",37,4695,6450,34.05462980000001,-118.3787748
513,"3418 Glendale Blvd #1/2, Los Angeles, CA 90039, Los Angeles, CA, 90039",21,2800,3400,34.1205612,-118.2577039
514,"812 N Croft Ave APT 201, Los Angeles, CA, 90069",30,9950,12950,34.0857889,-118.374027
515,"3771 Keystone Ave, #06, Los Angeles, CA, 90034",25,3075,3845,34.0197207,-118.406898
516,"13918 Chandler Blvd, Van Nuys, CA, 91401",42,35000,50000,34.1680389,-118.4362124
517,"7177 Pacific View Dr, Los Angeles, CA, 90068",16,14995,17500,34.122153,-118.3489048
518,"13018 Chandler Blvd, Van Nuys, CA, 91401",12,40000,45000,34.168076,-118.4167493
519,"14143 Hatteras St, Sherman Oaks, CA, 91401",6,7500,7950,34.1759696,-118.4415588
520,"7801 White Oak Ave, Reseda, CA, 91335",36,5450,7450,34.2122021,-118.5189561
521,"240 Howland Canal Ct, Venice, CA, 90291",70,20500,35000,33.9836098,-118.4660555
522,"3935 Inglewood Blvd #3935, Los Angeles, CA, 90066",12,3999,4500,34.0034296,-118.4270122
523,"6229 Fallbrook Ave, Woodland Hills, CA, 91367",74,3950,6900,34.183658,-118.6237293
524,"1941 Glencoe Way, Los Angeles, CA, 90068",47,8500,12500,34.10617939999999,-118.339232
525,"3215 Ocean Front Walk #101, Marina Del Rey, CA, 90292",38,9000,12500,33.9782675,-118.4659899
526,"14133 Tiara St, Sherman Oaks, CA, 91401",40,5699,7999,34.1787263,-118.4411787
527,"3215 Ocean Front Walk #101, Marina Del Rey, CA, 90292",38,9000,12500,33.9782675,-118.4659899
528,"10923 Ayres Ave #1, Los Angeles, CA, 90064",11,8500,9500,34.0388563,-118.4296317
529,"15701 Royal Ridge Rd, Sherman Oaks, CA, 91403",10,8995,9900,34.1397584,-118.4753431
530,"2084 N Vine St, Los Angeles, CA, 90068",71,17499,29995,34.108563,-118.3263723
531,"5344 Leghorn Ave, Van Nuys, CA, 91401",80,20000,36000,34.168064,-118.415651
532,"3701 Royal Meadow Rd, Sherman Oaks, CA, 91403",50,9950,15000,34.1371615,-118.4779276
533,"306 N Venice Blvd, Venice, CA, 90291",78,2800,5000,33.98583929999999,-118.4683738
534,"10802 Wilkins Ave, Los Angeles, CA, 90024",12,2500,2800,34.0558093,-118.4395014
535,"15541 Aqua Verde Dr, Los Angeles, CA, 90077",31,19000,25000,34.1229319,-118.4742325
536,"14320 Hortense St, Sherman Oaks, CA, 91423",10,6495,7200,34.1545398,-118.4450787
537,"714 South St, Glendale, CA, 91202",22,8950,11000,34.16254,-118.2712275
538,"11633 Chenault St #202, Brentwood, CA, 90049",50,4995,7500,34.0578756,-118.4665902
539,"6617 S Sherbourne Dr, los angeles, CA, 90056",58,10500,16600,33.9790915,-118.3808658
540,"325 Woodcliffe Rd, Pasadena, CA, 91105",44,1510000,2174900,34.1499859,-118.18134
541,"3945 Eagle Rock Blvd Unit 49, Los Angeles, CA, 90065",2,4250,4350,34.1201233,-118.2298653
542,"5117 Bakman Ave, North Hollywood, CA, 91601",47,3400,5000,34.1635175,-118.3775837
543,"878 Hartglen Ave, Westlake Village, CA, 91361",10,6250,6900,34.1565232,-118.8392796
544,"610 N Foothill Rd, Beverly Hills, CA, 90210",36,69500,95000,34.0792627,-118.4007513
545,"1933 N Vista Del Mar Ave, Los Angeles, CA, 90068",18,5500,6495,34.1062331,-118.3242647
546,"1719 Wellesly Ave., West LA, CA, 90025",76,8495,14995,34.0354175,-118.4610317
547,"7171 La Presa Dr, Los Angeles, CA, 90068",53,19500,29950,34.107784,-118.3443432
548,"Uundisclosed but IDed as 1026 Echo Park Ave, Los Angeles, CA, 90026",66,5995,9995,34.0746236,-118.2583954
549,"3108 Yale Ave, Marina Del Rey, CA, 90292",92,13000,25000,33.9879973,-118.4482201
550,"18220 Fallenleaf Cir, Fountain Valley, CA, 92708",37,5800,8000,33.6985367,-117.9644173
551,"6111 San Vincente Blvd, Los Angeles, CA, 90048",115,6950,14950,34.0591805,-118.3638179
552,"6119 Maryland Dr, Los Angeles, CA, 90048",20,19500,23500,34.0669213,-118.3621942
553,"14550 Round Valley Dr, Sherman Oaks, CA, 91403",45,8950,13000,34.1452897,-118.4497267
554,"undisclosed address, Woodland Hills, CA, 91367",39,3300,4600,34.1785255,-118.597305
555,"16412 Ardsley Cir, Huntington Beach, CA, 92649",16,25000,29000,33.7233472,-118.0577993
556,"534 Wilcox Ave, Los Angeles, CA, 90004",8,11995,13000,34.0799924,-118.3305368
557,"1612 Courtney Ave, Hollywood, CA, 90046",16,9000,10500,34.1003271,-118.3569802
